player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;matches_in_form;club_form;club_form_trend;club_form_label
343027;D. Doué;85;Paris Saint Germain;Paris Saint Germain / Rennes;Attacker;1734.0;high;True;False;86.3;92.6;92.8;82.1;79.3;81.6;86.2;82.4;84.7;2.4;87.1;81.7;5.0;En hausse;5.0;61.8;35.0;En hausse
153;O. Dembélé;85;Paris Saint Germain;Paris Saint Germain;Attacker;1736.0;high;True;False;92.3;92.9;88.9;71.9;47.6;51.5;80.5;88.7;83.8;2.4;86.2;75.2;-20.0;En baisse;3.0;61.8;35.0;En hausse
483;K. Kvaratskhelia;85;Paris Saint Germain;Paris Saint Germain;Attacker;920.0;medium;True;False;85.3;89.9;88.1;79.4;61.6;72.9;82.6;84.9;83.5;2.3;85.8;95.0;20.0;En hausse;3.0;61.8;35.0;En hausse
25008;J. Clauss;84;Nice;Nice / Marseille;Defender;2311.0;high;True;False;71.1;93.6;87.1;63.5;86.1;76.3;82.6;84.0;83.1;2.3;85.4;80.8;-0.3;Stable;5.0;72.7;-35.0;En baisse
326068;K. Doumbia;106;Stade Brestois 29;Stade Brestois 29 / Reims;Midfielder;1316.0;medium;True;False;80.8;91.8;90.6;87.3;86.3;81.3;87.2;75.3;82.4;2.4;84.8;85.0;7.3;En hausse;5.0;43.7;16.7;En hausse
137303;E. Guessand;84;Nice;Nice;Attacker;2575.0;high;True;False;88.4;74.9;83.4;82.5;64.1;75.4;83.0;80.3;81.9;2.4;84.3;92.8;20.0;En hausse;4.0;72.7;-35.0;En baisse
156477;R. Cherki;80;Lyon;Lyon;Midfielder;2054.0;high;True;False;86.8;93.4;91.4;83.8;47.0;62.2;78.1;87.6;81.9;2.3;84.2;94.3;-5.7;En baisse;5.0;47.9;16.7;En hausse
129695;D. Bakwa;95;Strasbourg;Strasbourg;Attacker;2509.0;high;True;False;81.4;86.4;88.5;74.3;56.6;78.9;81.1;82.6;81.7;2.3;83.9;80.7;-12.0;En baisse;5.0;38.2;-35.0;En baisse
927;Lee Kang-In;85;Paris Saint Germain;Paris Saint Germain;Midfielder;1665.0;high;True;False;78.5;92.3;89.1;85.6;53.4;67.0;78.7;86.0;81.7;2.2;83.8;85.7;-18.0;En baisse;3.0;61.8;35.0;En hausse
85041;A. Gouiri;81;Marseille;Marseille / Rennes;Attacker;2102.0;high;True;False;93.3;91.1;83.0;67.2;36.9;41.3;77.0;87.5;81.2;2.2;83.4;95.0;-2.3;Stable;5.0;83.1;22.2;En hausse
325594;F. Lemaréchal;95;Strasbourg;Strasbourg / Monaco;Midfielder;1788.0;high;True;False;82.0;93.1;90.1;82.6;85.1;71.1;84.9;75.6;81.2;2.1;83.3;86.4;-1.0;Stable;5.0;38.2;-35.0;En baisse
335051;João Neves;85;Paris Saint Germain;Paris Saint Germain;Midfielder;1857.0;high;True;False;77.4;67.2;83.7;77.0;81.5;87.2;78.4;85.0;81.0;2.1;83.1;75.6;-10.0;En baisse;4.0;61.8;35.0;En hausse
161747;G. Doué;95;Strasbourg;Strasbourg / Rennes;Defender;2716.0;high;True;False;62.5;54.9;75.3;81.7;90.2;87.9;83.2;75.9;80.3;2.1;82.4;78.6;5.0;En hausse;5.0;38.2;-35.0;En baisse
20732;G. Perrin;108;Auxerre;Auxerre;Attacker;2704.0;high;True;False;86.6;91.6;88.3;75.4;54.3;53.9;79.1;81.5;80.1;2.1;82.2;84.8;-6.3;En baisse;5.0;26.8;-16.7;En baisse
162466;S. Diomandé;108;Auxerre;Auxerre / Lyon;Defender;1945.0;high;True;False;75.9;54.9;69.4;82.2;92.4;87.8;84.2;73.5;79.9;2.1;82.1;71.3;-5.7;En baisse;5.0;26.8;-16.7;En baisse
109;A. Golovin;91;Monaco;Monaco;Midfielder;1161.0;medium;True;False;77.8;85.7;75.4;86.1;78.0;76.8;80.5;78.8;79.8;2.1;81.9;;;;;51.9;-5.6;En baisse
22093;R. Cabella;79;Lille;Lille;Midfielder;1012.0;medium;True;False;67.4;88.9;85.0;78.9;74.6;81.3;80.7;78.3;79.7;2.1;81.8;93.6;;Non disponible;2.0;58.4;-27.8;En baisse
291649;Vanderson;91;Monaco;Monaco;Defender;2077.0;high;True;False;71.1;73.3;75.2;78.3;84.5;81.5;81.2;77.4;79.7;2.0;81.7;73.9;-7.3;En baisse;5.0;51.9;-5.6;En baisse
2781;M. Simon;83;Nantes;Nantes;Attacker;2626.0;high;True;False;84.0;88.5;90.1;77.6;49.3;64.4;80.4;77.8;79.4;2.0;81.4;82.7;11.0;En hausse;5.0;50.7;35.0;En hausse
274300;M. Akliouche;91;Monaco;Monaco;Midfielder;2409.0;high;True;False;72.4;88.1;89.1;80.1;61.0;67.5;77.6;81.8;79.3;2.0;81.3;92.4;-16.7;En baisse;5.0;51.9;-5.6;En baisse
22097;A. Nordin;82;Montpellier;Montpellier;Attacker;1171.0;medium;True;False;84.6;74.3;77.0;80.3;64.2;85.4;81.8;74.9;79.0;2.0;81.0;;;;;9.0;-11.1;En baisse
9;A. Hakimi;85;Paris Saint Germain;Paris Saint Germain;Defender;2067.0;high;True;False;77.1;74.4;86.1;78.7;70.6;70.4;72.3;88.9;78.9;2.0;80.9;81.4;-12.0;En baisse;2.0;61.8;35.0;En hausse
283026;M. Biereth;91;Monaco;Monaco;Attacker;1237.0;medium;True;False;91.8;82.7;74.2;50.4;47.1;61.4;75.2;83.7;78.6;2.0;80.6;80.6;1.3;Stable;4.0;51.9;-5.6;En baisse
67889;H. Haraldsson;79;Lille;Lille;Midfielder;1765.0;high;True;False;80.4;86.2;82.9;82.5;61.3;70.3;77.8;79.7;78.5;2.0;80.5;80.4;-4.0;En baisse;5.0;58.4;-27.8;En baisse
161904;B. Barcola;85;Paris Saint Germain;Paris Saint Germain;Attacker;2192.0;high;True;False;91.0;89.7;87.4;58.6;56.5;50.5;77.2;80.6;78.5;1.9;80.4;77.7;-12.3;En baisse;5.0;61.8;35.0;En hausse
21497;L. Blas;94;Rennes;Rennes;Midfielder;2302.0;high;True;False;84.4;87.0;88.6;71.0;61.7;69.4;77.2;80.4;78.5;1.9;80.3;80.0;-5.0;En baisse;4.0;35.3;16.7;En hausse
21592;G. Laborde;84;Nice;Nice;Attacker;1838.0;high;True;False;86.5;79.4;78.2;70.9;55.9;62.9;77.4;80.0;78.4;1.9;80.3;92.3;16.7;En hausse;5.0;72.7;-35.0;En baisse
25287;K. Danso;116;Lens;Lens;Defender;1080.0;medium;True;False;54.4;86.2;56.6;59.8;79.8;75.3;76.9;80.3;78.3;1.9;80.1;;;;;67.4;0.0;Stable
22261;A. Thomasson;116;Lens;Lens;Midfielder;2623.0;high;True;False;73.5;88.7;84.8;69.4;72.7;72.7;77.9;78.6;78.2;1.8;80.0;90.4;9.7;En hausse;5.0;67.4;0.0;Stable
361348;M. Fofana;80;Lyon;Lyon;Attacker;1597.0;high;True;False;85.0;81.4;83.5;72.4;55.3;70.3;79.4;76.3;78.2;1.8;80.0;83.9;-4.3;En baisse;5.0;47.9;16.7;En hausse
662;T. Ndombélé;84;Nice;Nice;Midfielder;1139.0;medium;True;False;64.7;80.8;82.6;85.5;74.1;84.3;79.7;75.7;78.1;1.8;79.9;;;;;72.7;-35.0;En baisse
8489;J. David;79;Lille;Lille;Attacker;2558.0;high;True;False;91.7;78.9;77.7;71.7;45.8;51.5;77.3;79.1;78.0;1.8;79.8;78.1;-8.7;En baisse;5.0;58.4;-27.8;En baisse
84128;Y. Gboho;96;Toulouse;Toulouse;Attacker;2340.0;high;True;False;84.9;75.5;81.4;73.6;52.3;71.1;78.9;76.6;78.0;1.8;79.8;90.4;16.7;En hausse;5.0;64.3;22.2;En hausse
21443;T. Savanier;82;Montpellier;Montpellier;Midfielder;2339.0;high;True;False;69.6;92.1;87.7;73.0;57.8;74.4;77.1;79.0;77.9;1.7;79.6;71.3;-4.0;En baisse;3.0;9.0;-11.1;En baisse
11421;G. Suazo;96;Toulouse;Toulouse;Defender;2160.0;high;True;False;57.8;85.3;83.5;84.6;76.3;72.4;77.2;78.7;77.8;1.7;79.5;78.5;-1.0;Stable;3.0;64.3;22.2;En hausse
2214;R. Del Castillo;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1266.0;medium;True;False;87.1;91.3;86.7;70.0;62.7;69.5;78.1;77.3;77.8;1.7;79.5;84.9;-1.3;Stable;5.0;43.7;16.7;En hausse
322560;L. Stassin;1063;Saint Etienne;Saint Etienne;Attacker;1875.0;high;True;False;91.3;69.8;75.9;73.2;43.9;55.0;77.1;78.5;77.7;1.7;79.4;89.3;;Non disponible;2.0;35.9;16.7;En hausse
39115;A. Dønnum;96;Toulouse;Toulouse;Midfielder;2697.0;high;True;False;62.7;84.0;80.0;79.7;69.8;75.8;76.7;78.9;77.6;1.7;79.3;84.8;-4.7;En baisse;4.0;64.3;22.2;En hausse
22170;P. Lees-Melou;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1528.0;high;True;False;71.5;75.6;74.5;78.9;72.3;76.9;75.2;80.1;77.2;1.7;78.9;86.5;-1.3;Stable;4.0;43.7;16.7;En hausse
374058;L. Camara;91;Monaco;Monaco;Midfielder;2064.0;high;True;False;70.8;58.7;83.1;73.6;79.8;80.0;73.8;82.1;77.1;1.7;78.8;76.9;-6.0;En baisse;4.0;51.9;-5.6;En baisse
305834;Andrey Santos;95;Strasbourg;Strasbourg;Midfielder;2857.0;high;True;False;77.8;46.5;71.5;73.0;82.4;90.7;71.6;84.8;76.9;1.7;78.6;89.6;-0.3;Stable;5.0;38.2;-35.0;En baisse
128384;Vitinha;85;Paris Saint Germain;Paris Saint Germain;Midfielder;2035.0;high;True;False;81.5;69.5;72.0;79.0;63.4;62.0;70.7;86.2;76.9;1.7;78.6;95.0;2.0;Stable;3.0;61.8;35.0;En hausse
263482;Nuno Mendes;85;Paris Saint Germain;Paris Saint Germain;Defender;1676.0;high;True;False;75.0;73.9;82.8;83.3;70.5;74.9;73.6;81.3;76.7;1.7;78.4;95.0;20.0;En hausse;3.0;61.8;35.0;En hausse
10077;Luis Henrique;81;Marseille;Marseille;Attacker;2621.0;high;True;False;79.4;87.2;82.4;79.3;42.4;49.5;74.7;79.7;76.7;1.7;78.3;79.3;-0.7;Stable;4.0;83.1;22.2;En hausse
50956;C. Cásseres;96;Toulouse;Toulouse;Midfielder;2705.0;high;True;False;59.0;71.2;72.9;80.9;83.3;84.9;76.1;77.3;76.6;1.6;78.2;82.3;8.0;En hausse;5.0;64.3;22.2;En hausse
22264;L. Ajorque;106;Stade Brestois 29;Stade Brestois 29;Attacker;2504.0;high;True;False;86.7;78.7;68.8;60.3;57.2;70.7;75.4;78.3;76.6;1.6;78.2;79.9;3.3;En hausse;5.0;43.7;16.7;En hausse
162465;M. Bard;84;Nice;Nice;Defender;1941.0;high;True;False;68.0;66.3;68.9;69.7;81.1;76.6;76.4;76.6;76.5;1.6;78.1;85.6;-12.0;En baisse;5.0;72.7;-35.0;En baisse
47480;M. Salisu;91;Monaco;Monaco;Defender;1035.0;medium;True;False;73.5;83.0;53.0;64.2;79.9;75.8;77.1;75.4;76.4;1.6;78.0;;;;;51.9;-5.6;En baisse
191392;P. Joly;108;Auxerre;Auxerre;Defender;1024.0;medium;True;False;62.8;79.2;74.8;59.8;84.7;87.2;82.1;67.9;76.4;1.6;78.0;68.7;-4.0;En baisse;5.0;26.8;-16.7;En baisse
24743;Z. Davitashvili;1063;Saint Etienne;Saint Etienne;Attacker;2761.0;high;True;False;84.7;86.8;86.3;67.6;48.2;52.5;76.0;76.8;76.4;1.5;77.9;83.7;-12.3;En baisse;5.0;35.9;16.7;En hausse
21153;B. Santamaría;84;Nice;Nice / Rennes;Midfielder;1411.0;high;True;False;54.5;74.6;70.0;83.6;85.2;89.4;77.4;74.8;76.4;1.5;77.9;71.5;3.0;Stable;3.0;72.7;-35.0;En baisse
49583;A. Abdi;84;Nice;Nice;Defender;1417.0;high;True;False;78.0;77.1;74.7;64.4;79.8;73.2;76.2;76.5;76.3;1.4;77.8;79.6;-5.0;En baisse;5.0;72.7;-35.0;En baisse
30531;J. Boga;84;Nice;Nice;Attacker;1065.0;medium;True;False;80.3;87.8;84.6;73.3;52.9;66.8;77.7;74.4;76.3;1.5;77.8;78.6;-2.0;Stable;2.0;72.7;-35.0;En baisse
1467;A. Lacazette;80;Lyon;Lyon;Attacker;2061.0;high;True;False;93.1;75.1;72.7;69.3;48.0;50.8;76.3;76.4;76.3;1.4;77.7;92.0;16.0;En hausse;4.0;47.9;16.7;En hausse
85914;J. Le Cardinal;106;Stade Brestois 29;Stade Brestois 29 / Lens;Defender;1378.0;high;True;False;59.0;78.3;58.9;70.5;78.9;74.2;76.1;76.6;76.3;1.4;77.7;72.7;;Non disponible;2.0;43.7;16.7;En hausse
