player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label;competition_id;competition_name;season;season_label
1165;Matheus Cunha;39;Wolves;Wolves / Manchester United;Attacker;5203.0;high;True;False;91.2;90.5;89.5;81.4;61.5;75.4;86.1;87.6;86.7;2.0;88.7;;;Non disponible;Non disponible;;32.0;-4.0;En baisse;39;Premier League;2024;2024-2025
18846;A. Wan-Bissaka;48;West Ham;West Ham / Manchester United;Defender;3155.0;high;True;False;62.7;87.5;88.8;90.4;91.8;88.7;89.9;79.4;85.7;2.1;87.7;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
1460;B. Saka;42;Arsenal;Arsenal;Attacker;1735.0;high;True;False;85.0;92.1;91.4;82.6;58.5;77.1;84.5;86.3;85.2;2.0;87.2;;;Non disponible;Non disponible;;65.8;15.0;En hausse;39;Premier League;2024;2024-2025
20589;B. Mbeumo;55;Brentford;Brentford;Attacker;3417.0;high;True;False;91.8;86.9;84.0;79.1;56.4;64.8;82.8;85.0;83.7;2.2;85.9;;;Non disponible;Non disponible;;54.0;-15.0;En baisse;39;Premier League;2024;2024-2025
306;Mohamed Salah;40;Liverpool;Liverpool;Attacker;3377.0;high;True;False;92.1;93.2;89.7;68.0;41.9;50.4;79.7;89.5;83.6;2.2;85.8;;;Non disponible;Non disponible;;36.4;-6.7;En baisse;39;Premier League;2024;2024-2025
1422;J. Doku;50;Manchester City;Manchester City;Attacker;1532.0;high;True;False;77.3;85.8;88.8;91.1;64.1;84.9;83.4;82.4;83.0;2.2;85.2;;;Non disponible;Non disponible;;77.5;5.3;En hausse;39;Premier League;2024;2024-2025
157997;A. Diallo;33;Manchester United;Manchester United;Attacker;1901.0;high;True;False;86.1;90.9;88.4;75.9;65.2;71.7;82.3;84.0;83.0;2.2;85.1;;;Non disponible;Non disponible;;43.8;9.3;En hausse;39;Premier League;2024;2024-2025
152982;C. Palmer;49;Chelsea;Chelsea;Midfielder;3199.0;high;True;False;90.8;93.7;89.2;80.6;50.2;72.6;79.7;87.9;83.0;2.1;85.0;;;Non disponible;Non disponible;;73.1;8.0;En hausse;39;Premier League;2024;2024-2025
18784;J. Maddison;47;Tottenham;Tottenham;Midfielder;1817.0;high;True;False;86.5;88.3;89.4;78.5;68.1;82.4;82.2;82.6;82.4;2.1;84.5;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
266657;Sávio;50;Manchester City;Manchester City;Attacker;1770.0;high;True;False;75.5;90.7;90.6;86.1;58.2;72.0;80.1;82.7;81.2;2.3;83.5;;;Non disponible;Non disponible;;77.5;5.3;En hausse;39;Premier League;2024;2024-2025
19586;E. Eze;52;Crystal Palace;Crystal Palace;Midfielder;2603.0;high;True;False;80.8;89.7;89.5;82.8;57.4;73.8;79.6;81.9;80.6;2.4;82.9;;;Non disponible;Non disponible;;62.8;2.7;Stable;39;Premier League;2024;2024-2025
10135;Bruno Guimarães;34;Newcastle;Newcastle;Midfielder;3282.0;high;True;False;70.0;82.5;81.9;82.5;76.3;83.1;80.2;80.0;80.1;2.4;82.5;;;Non disponible;Non disponible;;40.8;-15.0;En baisse;39;Premier League;2024;2024-2025
10329;João Pedro;51;Brighton;Brighton / Chelsea;Attacker;3908.0;high;True;False;89.6;80.9;84.8;64.5;53.1;72.4;80.5;79.4;80.0;2.3;82.4;;;Non disponible;Non disponible;;80.4;5.3;En hausse;39;Premier League;2024;2024-2025
19281;A. Semenyo;35;Bournemouth;Bournemouth;Attacker;3209.0;high;True;False;84.3;78.5;79.8;82.9;64.5;67.0;79.6;80.2;79.8;2.3;82.1;;;Non disponible;Non disponible;;52.6;1.3;Stable;39;Premier League;2024;2024-2025
2298;C. Hudson-Odoi;65;Nottingham Forest;Nottingham Forest;Attacker;2218.0;high;True;False;82.5;86.1;79.1;85.8;51.2;66.6;79.6;79.3;79.5;2.3;81.8;;;Non disponible;Non disponible;;45.2;6.7;En hausse;39;Premier League;2024;2024-2025
18;J. Sancho;49;Chelsea;Chelsea / Manchester United;Attacker;1764.0;high;True;False;81.4;92.3;90.4;80.9;59.2;73.9;82.0;75.2;79.3;2.2;81.6;;;Non disponible;Non disponible;;73.1;8.0;En hausse;39;Premier League;2024;2024-2025
162714;A. Onana;66;Aston Villa;Aston Villa / Everton;Midfielder;1631.0;high;True;False;74.8;73.6;70.6;89.9;91.3;91.6;81.8;75.6;79.3;2.3;81.6;;;Non disponible;Non disponible;;59.9;-4.0;En baisse;39;Premier League;2024;2024-2025
15908;M. Damsgaard;55;Brentford;Brentford;Midfielder;2930.0;high;True;False;61.4;88.5;86.3;83.1;71.9;69.0;78.7;80.2;79.3;2.2;81.5;;;Non disponible;Non disponible;;54.0;-15.0;En baisse;39;Premier League;2024;2024-2025
1864;Pedro Neto;49;Chelsea;Chelsea / Wolves;Attacker;2267.0;high;True;False;80.7;93.4;93.2;72.7;70.8;73.3;80.9;76.3;79.1;2.2;81.3;;;Non disponible;Non disponible;;73.1;8.0;En hausse;39;Premier League;2024;2024-2025
186;Son Heung-Min;47;Tottenham;Tottenham;Attacker;2116.0;high;True;False;87.3;90.0;87.3;66.0;45.6;53.6;77.4;81.3;78.9;2.2;81.1;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
19549;A. Robinson;36;Fulham;Fulham;Defender;3167.0;high;True;False;37.9;77.5;78.9;73.5;82.8;76.0;78.9;78.7;78.8;2.1;81.0;;;Non disponible;Non disponible;;42.3;4.0;En hausse;39;Premier League;2024;2024-2025
1455;A. Iwobi;36;Fulham;Fulham;Attacker;2994.0;high;True;False;85.0;86.3;81.7;77.1;52.9;52.3;77.0;81.6;78.8;2.2;81.0;;;Non disponible;Non disponible;;42.3;4.0;En hausse;39;Premier League;2024;2024-2025
2936;J. Tarkowski;45;Everton;Everton;Defender;2924.0;high;True;False;56.7;56.1;56.1;66.9;82.7;83.4;76.8;81.3;78.6;2.1;80.8;;;Non disponible;Non disponible;;76.0;13.3;En hausse;39;Premier League;2024;2024-2025
792;J. Kluivert;35;Bournemouth;Bournemouth;Attacker;2356.0;high;True;False;88.1;85.4;84.3;71.8;51.4;54.9;78.2;79.2;78.6;2.1;80.7;;;Non disponible;Non disponible;;52.6;1.3;Stable;39;Premier League;2024;2024-2025
19428;J. Bowen;48;West Ham;West Ham;Attacker;2979.0;high;True;False;89.7;83.9;84.5;61.7;58.2;58.1;77.7;79.9;78.6;2.0;80.6;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
311334;F. Buonanotte;46;Leicester;Leicester / Brighton;Midfielder;1515.0;high;True;False;80.5;91.4;90.0;68.3;88.9;73.6;82.8;72.2;78.6;2.1;80.6;;;Non disponible;Non disponible;;51.1;1.3;Stable;39;Premier League;2024;2024-2025
19720;T. Chalobah;52;Crystal Palace;Crystal Palace / Chelsea;Defender;1063.0;medium;True;False;74.2;87.6;68.4;72.4;80.5;83.9;81.3;74.3;78.5;2.0;80.5;;;Non disponible;Non disponible;;62.8;2.7;Stable;39;Premier League;2024;2024-2025
