competition_id;competition_name;country;season;season_label;fixture_id;round;matchday;date;team_id;team_name;team_logo;opponent_id;opponent_name;opponent_logo;home_away;goals_for;goals_against;score;result;shots_on_target;shots_off_target;shots_total;blocked_shots;shots_inside_box;shots_outside_box;fouls;corners;offsides;possession;yellow_cards;red_cards;goalkeeper_saves;passes_total;passes_accurate;pass_accuracy
61;Ligue 1;France;2024;2024-2025;1213845;Regular Season - 11;11;2024-11-09T20:00:00+00:00;77;Angers;https://media.api-sports.io/football/teams/77.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;2;4;2-4;D;3.0;5.0;10.0;2.0;6.0;4.0;5.0;6.0;3.0;30.0;0.0;;8.0;323.0;269.0;83.0
61;Ligue 1;France;2024;2024-2025;1213865;Regular Season - 14;14;2024-12-06T20:00:00+00:00;108;Auxerre;https://media.api-sports.io/football/teams/108.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;0;0;0-0;N;2.0;1.0;6.0;3.0;4.0;2.0;8.0;3.0;3.0;27.0;2.0;;11.0;248.0;167.0;67.0
61;Ligue 1;France;2024;2024-2025;1213754;Regular Season - 1;1;2024-08-16T18:45:00+00:00;111;Le Havre;https://media.api-sports.io/football/teams/111.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;1;4;1-4;D;2.0;1.0;5.0;2.0;3.0;2.0;11.0;2.0;1.0;24.0;3.0;;5.0;252.0;189.0;75.0
61;Ligue 1;France;2024;2024-2025;1213836;Regular Season - 10;10;2024-11-02T16:00:00+00:00;116;Lens;https://media.api-sports.io/football/teams/116.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;0;1;0-1;D;2.0;6.0;13.0;5.0;11.0;2.0;20.0;4.0;3.0;31.0;4.0;1.0;7.0;322.0;252.0;78.0
61;Ligue 1;France;2024;2024-2025;1213901;Regular Season - 18;18;2025-01-18T16:00:00+00:00;116;Lens;https://media.api-sports.io/football/teams/116.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;1;2;1-2;D;5.0;0.0;10.0;5.0;8.0;2.0;12.0;6.0;5.0;33.0;2.0;;5.0;328.0;254.0;77.0
61;Ligue 1;France;2024;2024-2025;1213765;Regular Season - 3;3;2024-09-01T18:45:00+00:00;79;Lille;https://media.api-sports.io/football/teams/79.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;1;3;1-3;D;4.0;4.0;8.0;0.0;6.0;2.0;9.0;3.0;5.0;42.0;3.0;;4.0;422.0;359.0;85.0
61;Ligue 1;France;2024;2024-2025;1213954;Regular Season - 24;24;2025-03-01T20:05:00+00:00;79;Lille;https://media.api-sports.io/football/teams/79.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;4;1-4;D;2.0;4.0;6.0;0.0;2.0;4.0;10.0;3.0;0.0;42.0;2.0;;7.0;476.0;407.0;86.0
61;Ligue 1;France;2024;2024-2025;1213881;Regular Season - 15;15;2024-12-15T19:45:00+00:00;80;Lyon;https://media.api-sports.io/football/teams/80.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;3;1-3;D;3.0;2.0;7.0;2.0;6.0;1.0;8.0;3.0;3.0;32.0;3.0;;3.0;340.0;279.0;82.0
61;Ligue 1;France;2024;2024-2025;1213953;Regular Season - 23;23;2025-02-23T19:45:00+00:00;80;Lyon;https://media.api-sports.io/football/teams/80.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;2;3;2-3;D;7.0;3.0;14.0;4.0;9.0;5.0;12.0;5.0;4.0;35.0;1.0;;4.0;337.0;278.0;82.0
61;Ligue 1;France;2024;2024-2025;1213821;Regular Season - 9;9;2024-10-27T19:45:00+00:00;81;Marseille;https://media.api-sports.io/football/teams/81.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;0;3;0-3;D;1.0;2.0;5.0;2.0;4.0;1.0;4.0;1.0;2.0;25.0;1.0;1.0;6.0;307.0;241.0;79.0
61;Ligue 1;France;2024;2024-2025;1213972;Regular Season - 26;26;2025-03-16T19:45:00+00:00;81;Marseille;https://media.api-sports.io/football/teams/81.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;3;1-3;D;2.0;4.0;11.0;5.0;4.0;7.0;9.0;5.0;4.0;40.0;0.0;;3.0;407.0;348.0;86.0
61;Ligue 1;France;2024;2024-2025;1213882;Regular Season - 16;16;2024-12-18T20:00:00+00:00;91;Monaco;https://media.api-sports.io/football/teams/91.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;2;4;2-4;D;5.0;5.0;15.0;5.0;11.0;4.0;11.0;1.0;3.0;40.0;2.0;;8.0;381.0;309.0;81.0
61;Ligue 1;France;2024;2024-2025;1213932;Regular Season - 21;21;2025-02-07T20:05:00+00:00;91;Monaco;https://media.api-sports.io/football/teams/91.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;4;1-4;D;3.0;3.0;9.0;3.0;7.0;2.0;11.0;1.0;5.0;36.0;0.0;;3.0;341.0;273.0;80.0
61;Ligue 1;France;2024;2024-2025;1213756;Regular Season - 2;2;2024-08-23T18:45:00+00:00;82;Montpellier;https://media.api-sports.io/football/teams/82.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;0;6;0-6;D;3.0;3.0;8.0;2.0;6.0;2.0;17.0;2.0;2.0;31.0;4.0;;5.0;338.0;282.0;83.0
61;Ligue 1;France;2024;2024-2025;1213861;Regular Season - 13;13;2024-11-30T20:00:00+00:00;83;Nantes;https://media.api-sports.io/football/teams/83.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;1;1-1;N;2.0;2.0;5.0;1.0;5.0;0.0;6.0;3.0;2.0;16.0;;;9.0;184.0;122.0;66.0
61;Ligue 1;France;2024;2024-2025;1213802;Regular Season - 7;7;2024-10-06T18:45:00+00:00;84;Nice;https://media.api-sports.io/football/teams/84.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;1;1;1-1;N;3.0;2.0;8.0;3.0;4.0;4.0;7.0;5.0;2.0;29.0;1.0;;7.0;284.0;230.0;81.0
61;Ligue 1;France;2024;2024-2025;1213754;Regular Season - 1;1;2024-08-16T18:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;111;Le Havre;https://media.api-sports.io/football/teams/111.png;away;4;1;4-1;V;10.0;4.0;15.0;1.0;13.0;2.0;9.0;8.0;1.0;76.0;0.0;;1.0;824.0;770.0;93.0
61;Ligue 1;France;2024;2024-2025;1213756;Regular Season - 2;2;2024-08-23T18:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;82;Montpellier;https://media.api-sports.io/football/teams/82.png;home;6;0;6-0;V;11.0;12.0;27.0;4.0;17.0;10.0;11.0;10.0;0.0;69.0;1.0;;3.0;744.0;694.0;93.0
61;Ligue 1;France;2024;2024-2025;1213765;Regular Season - 3;3;2024-09-01T18:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;79;Lille;https://media.api-sports.io/football/teams/79.png;away;3;1;3-1;V;7.0;2.0;11.0;2.0;11.0;0.0;9.0;1.0;2.0;58.0;2.0;;3.0;611.0;542.0;89.0
61;Ligue 1;France;2024;2024-2025;1213782;Regular Season - 4;4;2024-09-14T19:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;home;3;1;3-1;V;9.0;7.0;22.0;6.0;13.0;9.0;7.0;9.0;3.0;67.0;2.0;;2.0;679.0;623.0;92.0
